module_idx,module_name,category,source,description
2404,Mathlib.CategoryTheory.Category.PartialFun,CategoryTheory,name_tokens,category theory category theory category partial fun
2405,Mathlib.CategoryTheory.Category.Pointed,CategoryTheory,name_tokens,category theory category theory category pointed
2406,Mathlib.CategoryTheory.Category.Preorder,CategoryTheory,name_tokens,category theory category theory category preorder
2407,Mathlib.CategoryTheory.Category.Quiv,CategoryTheory,name_tokens,category theory category theory category quiv
2408,Mathlib.CategoryTheory.Category.ReflQuiv,CategoryTheory,name_tokens,category theory category theory category refl quiv
2409,Mathlib.CategoryTheory.Category.RelCat,CategoryTheory,name_tokens,category theory category theory category rel cat
2410,Mathlib.CategoryTheory.Category.TwoP,CategoryTheory,name_tokens,category theory category theory category two
2411,Mathlib.CategoryTheory.Category.ULift,CategoryTheory,name_tokens,category theory category theory category lift
2412,Mathlib.CategoryTheory.Center.Basic,CategoryTheory,name_tokens,category theory category theory center basic
2413,Mathlib.CategoryTheory.Center.Linear,CategoryTheory,name_tokens,category theory category theory center linear
2414,Mathlib.CategoryTheory.Center.Localization,CategoryTheory,name_tokens,category theory category theory center localization
2415,Mathlib.CategoryTheory.Center.NegOnePow,CategoryTheory,name_tokens,category theory category theory center neg one pow
2416,Mathlib.CategoryTheory.Center.Preadditive,CategoryTheory,name_tokens,category theory category theory center preadditive
2417,Mathlib.CategoryTheory.Closed.Cartesian,CategoryTheory,name_tokens,category theory category theory closed cartesian
2418,Mathlib.CategoryTheory.Closed.Enrichment,CategoryTheory,name_tokens,category theory category theory closed enrichment
2419,Mathlib.CategoryTheory.Closed.Functor,CategoryTheory,name_tokens,category theory category theory closed functor
2420,Mathlib.CategoryTheory.Closed.FunctorCategory.Basic,CategoryTheory,name_tokens,category theory category theory closed functor category basic
2421,Mathlib.CategoryTheory.Closed.FunctorCategory.Complete,CategoryTheory,name_tokens,category theory category theory closed functor category complete
2422,Mathlib.CategoryTheory.Closed.FunctorCategory.Groupoid,CategoryTheory,name_tokens,category theory category theory closed functor category groupoid
2423,Mathlib.CategoryTheory.Closed.FunctorToTypes,CategoryTheory,name_tokens,category theory category theory closed functor to types
2424,Mathlib.CategoryTheory.Closed.Ideal,CategoryTheory,name_tokens,category theory category theory closed ideal
2425,Mathlib.CategoryTheory.Closed.Monoidal,CategoryTheory,name_tokens,category theory category theory closed monoidal
2426,Mathlib.CategoryTheory.Closed.Types,CategoryTheory,name_tokens,category theory category theory closed types
2427,Mathlib.CategoryTheory.Closed.Zero,CategoryTheory,name_tokens,category theory category theory closed zero
2428,Mathlib.CategoryTheory.CodiscreteCategory,CategoryTheory,name_tokens,category theory category theory codiscrete category
2429,Mathlib.CategoryTheory.CofilteredSystem,CategoryTheory,name_tokens,category theory category theory cofiltered system
2430,Mathlib.CategoryTheory.CommSq,CategoryTheory,name_tokens,category theory category theory comm sq
