mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
gseries,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.2935,0.0,0.2935,-1,,10,8,0.2995,0.0
frobenius,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3145,0.0786,0.3931,1,MEDIUM,1,1,0.4337,0.0315
frobenius,solvable,Mathlib.GroupTheory.SemidirectProduct,GroupTheory,0.3032,0.0758,0.379,-1,,2,3,0.3928,0.0
frobenius,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.3075,0.0769,0.3843,-1,,3,2,0.3906,0.0
frobenius,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2981,0.0745,0.3727,-1,,4,5,0.3805,0.0
frobenius,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.299,0.0748,0.3738,-1,,5,4,0.3767,0.0
frobenius,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2953,0.0738,0.3691,-1,,6,6,0.3758,0.0
frobenius,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2885,0.0721,0.3607,-1,,7,7,0.3647,0.0
frobenius,solvable,Mathlib.GroupTheory.CosetCover,GroupTheory,0.2807,0.0702,0.3509,-1,,8,8,0.3557,0.0
frobenius,solvable,Mathlib.GroupTheory.HNNExtension,GroupTheory,0.2801,0.07,0.3502,-1,,9,9,0.3548,0.0
frobenius,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2689,0.0672,0.3361,-1,,10,10,0.3392,0.0
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.4452,0.0,0.4452,0,HIGH,1,1,0.7864,0.0445
cyclic,solvable,Mathlib.Algebra.Order.Group.Cyclic,Algebra,0.3317,0.0,0.3317,-1,,2,5,0.6244,0.0
cyclic,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3521,0.0,0.3521,-1,,3,2,0.4042,0.0352
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3304,0.0,0.3304,-1,,4,9,0.3955,0.0405
cyclic,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3424,0.0,0.3424,-1,,5,3,0.3896,0.0342
cyclic,solvable,Mathlib.GroupTheory.Perm.Closure,GroupTheory,0.3352,0.0,0.3352,-1,,6,4,0.3861,0.0335
cyclic,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3312,0.0,0.3312,-1,,7,6,0.3397,0.0
cyclic,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3307,0.0,0.3307,-1,,8,7,0.339,0.0
cyclic,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3306,0.0,0.3306,-1,,9,8,0.3388,0.0
cyclic,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3294,0.0,0.3294,-1,,10,10,0.3372,0.0
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Defs,GroupTheory,0.2589,0.0647,0.3236,1,MEDIUM,1,1,0.4168,0.0259
