mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3268,0.0,0.3268,-1,,6
extraspecial,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3252,0.0,0.3252,-1,,7
extraspecial,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3251,0.0,0.3251,-1,,8
extraspecial,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3197,0.0,0.3197,-1,,9
extraspecial,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3196,0.0,0.3196,-1,,10
gseries,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.3794,0.0,0.3794,0,HIGH-UNCERTAIN,1
gseries,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3236,0.0,0.3236,-1,,2
gseries,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3161,0.0,0.3161,-1,,3
gseries,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.3145,0.0,0.3145,-1,,4
gseries,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3106,0.0,0.3106,-1,,5
gseries,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3086,0.0,0.3086,-1,,6
gseries,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3077,0.0,0.3077,-1,,7
gseries,solvable,Mathlib.GroupTheory.Coset.Card,GroupTheory,0.3027,0.0,0.3027,-1,,8
gseries,solvable,Mathlib.GroupTheory.Coset.Defs,GroupTheory,0.3024,0.0,0.3024,-1,,9
gseries,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.2989,0.0,0.2989,-1,,10
frobenius,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3128,0.0782,0.3909,1,MEDIUM,1
frobenius,solvable,Mathlib.GroupTheory.SemidirectProduct,GroupTheory,0.3103,0.0776,0.3879,-1,,2
frobenius,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.3086,0.0771,0.3857,-1,,3
frobenius,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3007,0.0752,0.3759,-1,,4
frobenius,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2988,0.0747,0.3735,-1,,5
frobenius,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.296,0.074,0.37,-1,,6
frobenius,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2901,0.0725,0.3627,-1,,7
frobenius,solvable,Mathlib.GroupTheory.HNNExtension,GroupTheory,0.2814,0.0704,0.3518,-1,,8
frobenius,solvable,Mathlib.GroupTheory.CosetCover,GroupTheory,0.2798,0.07,0.3498,-1,,9
frobenius,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2666,0.0666,0.3332,-1,,10
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.4486,0.0,0.4486,0,HIGH,1
cyclic,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3529,0.0,0.3529,-1,,2
cyclic,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3455,0.0,0.3455,-1,,3
cyclic,solvable,Mathlib.GroupTheory.Perm.Closure,GroupTheory,0.3448,0.0,0.3448,-1,,4
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3386,0.0,0.3386,-1,,5
cyclic,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3333,0.0,0.3333,-1,,6
cyclic,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3328,0.0,0.3328,-1,,7
cyclic,solvable,Mathlib.Algebra.Order.Group.Cyclic,Algebra,0.3316,0.0,0.3316,-1,,8
cyclic,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.331,0.0,0.331,-1,,9
cyclic,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3305,0.0,0.3305,-1,,10
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.2024,0.0506,0.253,4,MEDIUM-LOW,1
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.2,0.05,0.25,-1,,2
burnside_app,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2,0.05,0.25,-1,,3
burnside_app,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2,0.05,0.25,-1,,4
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.SubMulAction.OfFixingSubgroup,GroupTheory,0.2,0.05,0.25,-1,,5
burnside_app,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2,0.05,0.25,-1,,6
burnside_app,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2,0.05,0.25,-1,,7
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2,0.05,0.25,-1,,8
burnside_app,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.2121,0.0,0.2121,-1,,9
burnside_app,solvable,Mathlib.GroupTheory.Perm.Cycle.Concrete,GroupTheory,0.2115,0.0,0.2115,-1,,10
eqtype,boot,Mathlib.Data.TypeVec,Data,0.2905,0.0,0.2905,2,MEDIUM,1
eqtype,boot,Mathlib.Order.TypeTags,Order,0.2718,0.0,0.2718,-1,,2
eqtype,boot,Mathlib.Data.Int.ModEq,Data,0.2686,0.0,0.2686,-1,,3
eqtype,boot,Mathlib.Data.Nat.ModEq,Data,0.2682,0.0,0.2682,-1,,4
eqtype,boot,Mathlib.Order.Filter.AtTopBot.ModEq,Order,0.2493,0.0,0.2493,-1,,5
eqtype,boot,Mathlib.Data.Finset.Functor,Data,0.2352,0.0,0.2352,-1,,6
eqtype,boot,Mathlib.Data.Fintype.Defs,Data,0.2315,0.0,0.2315,-1,,7
eqtype,boot,Mathlib.Data.Erased,Data,0.2276,0.0,0.2276,-1,,8
eqtype,boot,Mathlib.Logic.Encodable.Basic,Logic,0.2274,0.0,0.2274,-1,,9
eqtype,boot,Mathlib.Data.Finset.BooleanAlgebra,Data,0.2271,0.0,0.2271,-1,,10
seq,boot,Mathlib.Data.Seq.Seq,Data,0.3924,0.0,0.3924,0,HIGH-UNCERTAIN,1
seq,boot,Mathlib.Data.Seq.Defs,Data,0.3749,0.0,0.3749,-1,,2
seq,boot,Mathlib.Data.List.Pi,Data,0.3597,0.0,0.3597,-1,,3
seq,boot,Mathlib.Data.WSeq.Basic,Data,0.3496,0.0,0.3496,-1,,4
seq,boot,Mathlib.Data.WSeq.Productive,Data,0.3483,0.0,0.3483,-1,,5
seq,boot,Mathlib.Data.List.Triplewise,Data,0.3387,0.0,0.3387,-1,,6
seq,boot,Mathlib.Data.List.GetD,Data,0.3382,0.0,0.3382,-1,,7
seq,boot,Mathlib.Data.Seq.Basic,Data,0.3358,0.0,0.3358,-1,,8
seq,boot,Mathlib.Data.List.AList,Data,0.3351,0.0,0.3351,-1,,9
seq,boot,Mathlib.Data.List.Palindrome,Data,0.3348,0.0,0.3348,-1,,10
bigop,boot,Mathlib.Data.Finset.Prod,Data,0.3587,0.0,0.3587,0,HIGH-UNCERTAIN,1
bigop,boot,Mathlib.Data.Finset.Sum,Data,0.3573,0.0,0.3573,-1,,2
bigop,boot,Mathlib.Data.Finset.Lattice.Prod,Data,0.3378,0.0,0.3378,-1,,3
bigop,boot,Mathlib.Data.Finset.NoncommProd,Data,0.3234,0.0,0.3234,-1,,4
bigop,boot,Mathlib.Data.Prod.TProd,Data,0.2941,0.0,0.2941,-1,,5
bigop,boot,Mathlib.Data.Finset.Card,Data,0.294,0.0,0.294,-1,,6
bigop,boot,Mathlib.Data.Finset.PiInduction,Data,0.2905,0.0,0.2905,-1,,7
bigop,boot,Mathlib.Data.Finset.Range,Data,0.2895,0.0,0.2895,-1,,8
bigop,boot,Mathlib.Data.Finset.Density,Data,0.2874,0.0,0.2874,-1,,9
bigop,boot,Mathlib.Data.Finset.Filter,Data,0.2866,0.0,0.2866,-1,,10
generic_quotient,boot,Mathlib.Data.ZMod.QuotientGroup,Data,0.3367,0.0,0.3367,1,MEDIUM,1
generic_quotient,boot,Mathlib.Order.Quotient,Order,0.3167,0.0,0.3167,-1,,2
generic_quotient,boot,Mathlib.Data.Fintype.Quotient,Data,0.2979,0.0,0.2979,-1,,3
generic_quotient,boot,Mathlib.Data.TypeVec,Data,0.2789,0.0,0.2789,-1,,4
generic_quotient,boot,Mathlib.Data.ZMod.QuotientRing,Data,0.2781,0.0,0.2781,-1,,5
generic_quotient,boot,Mathlib.Order.TypeTags,Order,0.274,0.0,0.274,-1,,6
generic_quotient,boot,Mathlib.Order.CompleteLattice.Group,Order,0.2611,0.0,0.2611,-1,,7
generic_quotient,boot,Mathlib.Data.Fintype.Order,Data,0.2049,0.0512,0.2562,-1,,8
generic_quotient,boot,Mathlib.Order.ConditionallyCompleteLattice.Group,Order,0.255,0.0,0.255,-1,,9
generic_quotient,boot,Mathlib.Data.Fintype.Inv,Data,0.2039,0.051,0.2549,-1,,10
tuple,boot,Mathlib.Data.Fin.Tuple.Take,Data,0.3944,0.0,0.3944,0,HIGH-UNCERTAIN,1
