mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,name_score,text_score,category_score,graph_score,combined_score,rank
all_solvable,solvable,Mathlib.GroupTheory.GroupAction.MultipleTransitivity,GroupTheory,0.0,0.0,1.0,0.1111,0.1222,10
extraspecial,solvable,Mathlib.GroupTheory.GroupExtension.Basic,GroupTheory,0.125,0.0872,1.0,0.25,0.2224,1
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.1111,0.2212,1.0,0.0,0.2218,2
extraspecial,solvable,Mathlib.GroupTheory.FreeGroup.CyclicallyReduced,GroupTheory,0.1,0.093,1.0,0.25,0.2172,3
extraspecial,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.1667,0.1678,1.0,0.0,0.2171,4
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.1111,0.1765,1.0,0.0625,0.2164,5
extraspecial,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.1667,0.1521,1.0,0.0,0.2108,6
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.1111,0.1855,1.0,0.0,0.2075,7
extraspecial,solvable,Mathlib.GroupTheory.Coxeter.Inversion,GroupTheory,0.1429,0.0611,1.0,0.2,0.2073,8
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.1111,0.1717,1.0,0.0,0.202,9
extraspecial,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.1667,0.1219,1.0,0.0,0.1988,10
gseries,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.25,0.0328,1.0,0.0,0.1881,1
gseries,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.1429,0.0248,1.0,0.1429,0.1813,2
gseries,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.1,0.1271,1.0,0.0,0.1808,3
gseries,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.1111,0.0338,1.0,0.1429,0.1754,4
gseries,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.125,0.0943,1.0,0.0,0.1752,5
gseries,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.1111,0.0301,1.0,0.1429,0.1739,6
gseries,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.1429,0.0255,1.0,0.0909,0.1712,7
